date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:56:05	327/327	---M-Z	200	added ('OK')	text/plain	date:Thu,%2026%20May%202022%2016:56:02%20GMT	http://www.ramya.work/robots.txt		(from )
09:56:06	52806/52806	---M-Z	200	added ('OK')	text/html	etag:W/%2276daac4b4d02641eedc8be18f0237d9e--gzip%22	http://www.ramya.work/	/Users/Huckleberry/websites/ramya.work/www.ramya.work/index.html	(from )
09:56:06	48072/48072	---M-Z	200	added ('OK')	text/html	etag:W/%229541741e429e0451f3471dd13d0317ca%22	http://www.ramya.work/speaking	/Users/Huckleberry/websites/ramya.work/www.ramya.work/speaking.html	(from http://www.ramya.work/)
09:56:06	35542/35542	---M-Z	200	added ('OK')	text/html	etag:W/%221e63ee516d454005a6e979a10772cfff--gzip%22	http://www.ramya.work/contact	/Users/Huckleberry/websites/ramya.work/www.ramya.work/contact.html	(from http://www.ramya.work/)
09:56:07	75227/75227	---M-Z	200	added ('OK')	text/html	etag:W/%2211540bf3fee0c554aa6c48821c82ff98--gzip%22	http://www.ramya.work/kards	/Users/Huckleberry/websites/ramya.work/www.ramya.work/kards.html	(from http://www.ramya.work/)
09:56:08	72004/72004	---MCZ	200	added ('OK')	text/html	etag:W/%22fb85de479eb18ce0e4722d987c6a7daa--gzip%22	http://www.ramya.work/smartsheet	/Users/Huckleberry/websites/ramya.work/www.ramya.work/smartsheet.html	(from http://www.ramya.work/)
09:56:09	77927/77927	---M-Z	200	added ('OK')	text/html	etag:W/%2254b39bc99eff6ce072d21d6b0fcba67c--gzip%22	http://www.ramya.work/cirkledin	/Users/Huckleberry/websites/ramya.work/www.ramya.work/cirkledin.html	(from http://www.ramya.work/)
09:56:09	77999/77999	---M-Z	200	added ('OK')	text/html	etag:W/%227833a66d5902e1bc60baaccbc899dc54--gzip%22	http://www.ramya.work/smartsheet-onboarding	/Users/Huckleberry/websites/ramya.work/www.ramya.work/smartsheet-onboarding.html	(from http://www.ramya.work/)
09:56:10	74401/74401	---MCZ	200	added ('OK')	text/html	etag:W/%2275b62553bbbe2673efd35907a55203e4--gzip%22	http://www.ramya.work/offtherecord	/Users/Huckleberry/websites/ramya.work/www.ramya.work/offtherecord.html	(from http://www.ramya.work/)
09:56:10	68596/68596	---M-Z	200	added ('OK')	text/html	etag:W/%22f25b14a675dfa9e4eb0306e677ab3ee6%22	http://www.ramya.work/product-strategy	/Users/Huckleberry/websites/ramya.work/www.ramya.work/product-strategy.html	(from http://www.ramya.work/)
09:56:11	58893/58893	---MCZ	200	added ('OK')	text/html	etag:W/%22df3486393f22ea7a80db751dae0a95cd--gzip%22	http://www.ramya.work/passion	/Users/Huckleberry/websites/ramya.work/www.ramya.work/passion.html	(from http://www.ramya.work/)
09:56:12	27947/27947	---MC-	404	error ('Not%20Found')	text/html	etag:W/%22a78e37c9beb6ae6720d2b214abed820f%22	http://www.ramya.work/www.offtherecord.com	/Users/Huckleberry/websites/ramya.work/www.ramya.work/www.offtherecord.9.delayed	(from http://www.ramya.work/)
09:56:12	27947/27947	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%22a78e37c9beb6ae6720d2b214abed820f%22	http://www.ramya.work/smartsheet.com	/Users/Huckleberry/websites/ramya.work/www.ramya.work/smartsheet.a.delayed	(from http://www.ramya.work/)
09:56:12	27947/27947	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%22a78e37c9beb6ae6720d2b214abed820f%22	http://www.ramya.work/cirkledin.com	/Users/Huckleberry/websites/ramya.work/www.ramya.work/cirkledin.b.delayed	(from http://www.ramya.work/)
09:56:14	77567/77567	---M--	400	error ('Bad%20Request')	text/html	date:Thu,%2026%20May%202022%2016:56:10%20UTC	http://www.ramya.work/%22https://www.youtube.com/embed/GDVZ394Htxg?rel=0\%22	/Users/Huckleberry/websites/ramya.work/www.ramya.work/_https_/www.youtube.com/embed/GDVZ394Htxg.ca85f.delayed	(from http://www.ramya.work/speaking)
09:56:15	77567/77567	---M--	400	error ('Bad%20Request')	text/html	date:Thu,%2026%20May%202022%2016:56:11%20UTC	http://www.ramya.work/%22https://www.youtube.com/embed/9IKT3Ld4lds?rel=0\%22	/Users/Huckleberry/websites/ramya.work/www.ramya.work/_https_/www.youtube.com/embed/9IKT3Ld4lds.da85f.delayed	(from http://www.ramya.work/speaking)
09:56:16	0/0	---M--	302	error ('Found')	text/html	etag:W/%22c9d35d5dd4366eca5ab24f1603382bd3%22	http://www.ramya.work/s/RR_Resume.pdf	/Users/Huckleberry/websites/ramya.work/www.ramya.work/s/RR_Resume.e.delayed	(from http://www.ramya.work/contact)
09:56:17	51918/51918	---MCZ	200	added ('OK')	text/html	etag:W/%2232826fe229fb3160c3b6c95fdd43f817--gzip%22	http://www.ramya.work/home	/Users/Huckleberry/websites/ramya.work/www.ramya.work/home.html	(from http://www.ramya.work/smartsheet)
09:56:17	77567/77567	---M--	400	error ('Bad%20Request')	text/html	date:Thu,%2026%20May%202022%2016:56:14%20UTC	http://www.ramya.work/%22//www.youtube.com/embed/Tifc63nhD-Y?rel=0&amp;wmode=opaque&amp;enablejsapi=1\%22	/Users/Huckleberry/websites/ramya.work/www.ramya.work/_/www.youtube.com/embed/Tifc63nhD-Y.10fbfb.delayed	(from http://www.ramya.work/kards)
09:56:18	27947/27947	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%22a78e37c9beb6ae6720d2b214abed820f%22	http://www.ramya.work/%22//www.youtube.com/embed/Tifc63nhD-Y?rel=0&wmode=opaque&enablejsapi=1%22	/Users/Huckleberry/websites/ramya.work/www.ramya.work/_/www.youtube.com/embed/Tifc63nhD-Y.1174d2.delayed	(from http://www.ramya.work/kards)
